retained_record_label	sha256	bytes	role
capture/solidity/new-roots/test_mirrorExt_rejectsMalformedMappingResponses/RESULT	b116398df0769b395ac223732675a6d86225b897a7346ad3096ef68b4c34ba6a	50	result
capture/solidity/new-roots/test_readBattery_failedSelfMappingRetainsOtherChecks/RESULT	b116398df0769b395ac223732675a6d86225b897a7346ad3096ef68b4c34ba6a	50	result
capture/solidity/new-roots/test_readBattery_missingMappingRetainsOtherChecks/RESULT	b116398df0769b395ac223732675a6d86225b897a7346ad3096ef68b4c34ba6a	50	result
capture/solidity/new-roots/test_readBattery_wrongMappingFailsKnownAnswer/RESULT	b116398df0769b395ac223732675a6d86225b897a7346ad3096ef68b4c34ba6a	50	result
capture/solidity/new-roots/test_readBattery_zeroSelfMappingCannotQueryZeroCustody/RESULT	b116398df0769b395ac223732675a6d86225b897a7346ad3096ef68b4c34ba6a	50	result
capture/solidity/new-roots/test_runtime455MappingPreservesValueCustody/RESULT	b116398df0769b395ac223732675a6d86225b897a7346ad3096ef68b4c34ba6a	50	result
capture/solidity/static-bac57484/p1-probe/RESULT	ab0a6800780ab92ba0651f494dad1ac3339d1af2252edbbf626174998164860f	64	result
capture/solidity/static-bac57484/p2-probe/RESULT	028ee8d8a7f54f01949d4b8d4f0d417e157e283a8bd7b842970564c163f315ca	70	result
capture/solidity/static-bac57484/p3-probe/RESULT	028ee8d8a7f54f01949d4b8d4f0d417e157e283a8bd7b842970564c163f315ca	70	result
capture/solidity/static/RESULT	cc8e48c72e4b23541f5b91cab2031af901b060c8fea27a373638e96c2ed486ec	185	result
capture/solidity/static/stderr	d37167c548ddc3a69d8b788b010630fb814656da79b6783bdcce42f3fee36483	761	retained-raw-summarized
capture/source/formatted.commit	104a1a178e0196131d737a6d6344740267797ea637299aed1f1cc601ddd5e394	370	retained-raw-summarized
capture/source/formatted.head	43c2f1f9713bb75ebc2a8fbce903f4f71e7a2e4bf050ec8b9a66efb11c32d4f9	41	retained-raw-summarized
capture/source/original.diff	190723e23ef87b6d45bb627d3ec1ffa227c79dbfd392e6e2656b9d94e2769c6f	36177	retained-raw-summarized
capture/source/original.head	a571710a7516a0d20a170b133e73b7ff0f3ae3f2ea3a22b6538729b65795cb7f	41	retained-raw-summarized
