artifact	git_range_or_origin	sha256	bytes	changed_paths
final511-census-and-archived-fixture-tests.patch	4f59d3f30f59ba612c67b266e0d1310b9c155ed3..511a09e8c9fad91be09c49ad31327a05c6648568	c7025dd814c8b3b4977d00c22d00debb9a70af43d9a0497e01ae6fc9d7a463a2	9679	sim-testnet/precompile_probe_successor_test.go;sim-testnet/release_gate_test.go
causal-4f59-original-probe-and-nonce.patch	provided-authorized-causal-patch	b3bbcaded04b614684b0c21667706a29a1cf8f10acf6121878727735dac04fcc	898	sim-testnet/evm.go;sim-testnet/precompile_probe_successor_calls.go
combined-4f59-successor-source	92869c0d162d04ec4f1ae48f5d5ee6ba9289ebc1-integrated-into-4f59d3f30f59ba612c67b266e0d1310b9c155ed3	301674678c46063f0f5952f75ffa51c2d27838370ab8514a3623a076a980569b	6108	21-TestPrecompileProbeSuccessor-roots-plus-TestPrecompileBatteryRejectsEveryFailedCustodyCheck
