role	commit	parent	tree	subject
original-cumulative-candidate	4f59d3f30f59ba612c67b266e0d1310b9c155ed3	8a5531fd5167997fa5b71b5f245df6dd5b078a1e	7eb21437ab505cd2513cbddf574a2d31dbb9cddc	gofmt cumulative precompile probe qualification source
standalone-probe-successor	92869c0d162d04ec4f1ae48f5d5ee6ba9289ebc1	52def6334e72f77a0b2e3b655a37ec2d0df8d3fc	48549a0743db4de3ce29675ec56df87f5412131f	Replace only an unfunded failed probe while preserving native proof
final-fixture-and-census-candidate	511a09e8c9fad91be09c49ad31327a05c6648568	fdfffaec577de0c112b27671f92a169d4a36e26b	40a63f9c3e8251f12a40924129f0db2bc902d37f	Derive the synthetic probe successor from its persisted approval
